Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,-4.002071881822882e-09,-3.159842791771012e-09,1.3242739147868033e-07,-3.212004566180483e-08,4.924067342731762e-08,-2.428256785181592e-07,5.4289912269835584e-08,7.293363366771658e-07,4.954973116132416e-08,3.592232525922858e-06,1.0919615035523691e-06,3.163147605726711e-06,8.04035740769458e-07,-3.4337553627533526e-07,4.4946836501071445e-07,2.2285635925682634e-07,7.370938752024371e-07,-2.7762391341641386e-07,2.9222844836375425e-09,-1.6331455104556936e-06,5.218099160648458e-07,6.406247281680947e-07,-1.009248387674335e-06,-1.280585307035404e-07,1.3469182117365505e-07
2021-01-12,-5.918081713546115e-08,-1.6804264389481774e-08,1.1513698351786423e-08,-4.119762021512376e-08,-4.32737563426742e-09,-2.4123816012638314e-07,1.3366713717020513e-08,6.85223517867227e-07,8.742189446763663e-08,6.584130745713369e-07,1.352674817480217e-06,4.265127823845192e-06,7.275551963619407e-07,-3.582036233905244e-07,2.6326714739447836e-07,-1.8768305623487652e-08,1.0264411510360772e-06,-5.390187967451357e-07,-1.6431352725532752e-07,-1.1985431885070608e-06,1.8191882356374486e-07,4.86219421611672e-07,-1.2133707676034788e-06,-3.7624100491001263e-07,5.744534366812779e-08
2021-01-13,8.28829764306726e-08,3.6852483074424414e-08,2.494682497408857e-07,1.2470258176112971e-08,4.790364607532243e-08,-1.6798520391790324e-07,4.057679452798006e-08,3.516937444591825e-07,9.379723294425197e-08,1.795367083417102e-06,-4.962622043418343e-07,4.371134591696213e-06,3.709470623246303e-07,-1.6481095475112708e-07,2.3136007637049154e-07,-1.7583021860891886e-07,6.008059737790147e-07,-7.225643616525196e-08,-3.266867300695827e-07,-3.474948225815482e-07,-4.794136345442364e-09,1.0655012282326135e-06,4.1517039450620825e-07,8.747783907631065e-08,2.3720515987671835e-08
2021-01-14,-1.2018731710676263e-07,-1.732107377065443e-08,-5.1291407323734503e-08,-1.6515612930864462e-08,-1.0443465904776623e-07,-4.401510367536188e-07,-1.203571600637478e-07,6.007500621060594e-07,3.5510602334701825e-08,1.7222507904964202e-06,-2.011788434819335e-06,1.492333278746879e-06,2.6326804058573343e-07,-8.35624287711436e-07,4.103223596055813e-07,2.628223123502873e-08,1.9921105855443542e-07,-1.5885906324861482e-06,-3.6135703651009875e-07,-7.689546953310221e-07,-2.1813917608085326e-07,4.694516262051968e-07,-1.438266042354511e-06,-1.596441907995675e-07,-7.56390876961866e-08
2021-01-15,-1.0765190317597063e-07,-4.1212780219590515e-08,-1.1100283625063242e-07,-4.013300288210715e-08,-1.3368717578087152e-07,-2.037105690381392e-07,-1.6658791618511905e-07,7.949055826546002e-08,-6.52493507605506e-08,3.316990710006661e-06,-1.1394264534360506e-06,2.3929168946820525e-08,1.0375014408990092e-07,-4.991695429766382e-07,1.5068046432764961e-07,1.6196663671836598e-08,5.204353716662683e-07,-9.922757569365319e-07,-4.680620355367091e-07,-8.896498976140986e-07,3.7085975553325484e-08,3.664060249372255e-07,-1.5876605552933932e-06,-6.121386938813747e-07,-1.2610501559516363e-07
2021-01-19,-1.5207415257957417e-08,-7.989412043081643e-09,-1.5758034640802953e-07,2.477919758892978e-09,5.10279681923588e-08,6.649683791758922e-08,5.090056240157134e-08,3.101009259563932e-07,3.535094928981223e-08,1.0180399275772273e-06,-6.28232379156972e-07,1.6684691289101562e-06,-2.6006334350290617e-10,-6.025154390473596e-07,1.0067729145360552e-07,2.804001328323698e-07,1.4081702890289922e-07,-8.080490724897812e-07,-3.974246109628902e-07,-1.119812595203468e-06,-2.08694063476753e-07,3.15190423545237e-07,-1.1688289011106876e-06,-8.007716041008568e-08,-1.6255613951989621e-07
