Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,3.6687824626545797,9.749428523883896,13.637711541330429,6.043854981323047,4.053011474837378,-289.98630069768876,3.855700742067083,13.54131606233792,4.1748172905286385,3.532442152959177,-10.999503101967708,3.0767168805522367,5.951633468161366,-5.147011662887568,4.893597517288267,8.649690529250753,9.31808881431315,-10.11304646778207,-3.6307640994893235,-3.5527510843349193,-8.016323784716759,-22.027606713570453,136.18355335942147,4.673115068433736,-17.579963585843153
2021-02-03,3.2423295172191047,16.958549472603988,33.22285514697035,12.012341193906769,3.0804648695215495,-43.622117826394636,2.9637401229767213,15.970191033596326,4.941961934028112,3.700940288645479,-17.47211287360839,4.467905252555627,4.934979379388013,-5.831926193790297,5.206572271362374,17.72358365379409,9.506657556897949,-11.910538570472195,-3.323245006232087,-4.178482017914262,-6.690470384593594,49.35958918215219,-99.31523722681618,4.889738144483618,-11.593425486396477
2021-02-04,2.508054476279688,5.105864336678907,5.483289495074125,5.863189967700584,2.9337000847315706,26.774435499580676,2.973059305167108,-78.13334344611519,6.1704428485064,3.0670013942597127,-3.0406596909593246,3.686850957788007,6.327870512620877,-32.4882510328536,5.532845915565088,17.865860919172057,7.2184658333514005,-32.683732740632855,-2.8150694100903992,-5.874473226689764,-3.8263794145721053,12.197004665786634,6.948688617439745,2.743961428323754,-25.12331261346364
2021-02-05,3.0161847029803996,8.782534711380771,17.90131526278303,5.975626198337811,3.1096072870976106,192.4487539469114,3.153266902655936,-58.10948814863129,13.206666385924901,3.19930301912571,-2.1098922583813673,6.630120079057588,17.065582372866853,-19.69129323737812,4.414979151173329,10.325652929171298,6.437853477849746,-17.245930664525954,-3.398037311453767,-6.502668174429695,-2.7413103085012027,16.962843647267036,10.542759580380727,2.8749254413496703,-6.306462907927102
2021-02-08,3.168993123762135,10.39715258810862,5.351909069995002,8.005082392766814,3.4263694353541205,449.3381768357777,3.444734768920982,48.7449748452585,-77.91388533868214,2.967643802826665,-2.194420568597029,5.699153102953274,9.552595430754142,-10.747434674701404,3.6233166510592265,8.72229577837324,7.366480004588655,-10.630249329329247,-3.264108095407862,-8.671025870719182,-2.781913662387075,-819.8995243850874,16.491007669919718,3.4806978932453743,-18.58247398480828
2021-02-09,2.6950905866528614,7.0984590349564405,9.214371497493504,5.699956210958443,2.9620470260255956,7.773767365597313,2.9947551038169866,-141.2025614610474,10.455048828443942,5.212751778525861,-2.990045761171916,5.365446430881971,22.844671024599027,-14.705155813534462,6.259583160760526,6.287125267330386,13.95548960828366,-12.03758892676474,-3.3969845795664684,-19.585186039426304,-1.9710794971234116,-12.578295096128826,6.702771277470604,3.023627145110835,-7.907086869823148
